UAI,Sigle,Nom Archipel,Nom complet (Archipel),Nom complet,PAS.1.Collège de rattachement,PAS.1.Dénomination principale,PAS.1.Dénomination complémentaire,Education prioritaire (Archipel),Territoire,Adresse,PAS.1.Lieu dit,Code Postal,Ville,IPS,ULIS,Degré,Secteur,Mail,Téléphone,Chef d'établissement,PAS.1.Hébergement,Circonscription,PAS,Nom du PAS,Bassin,Secteur SEGPA,Secteur ERSEH,ERSEH,PIAL,Effectifs ens. Adapté,Effectifs (Archipel),PAS.1.Effectifs,Latitude,Longitude,Lat Moyen Secteur,Long Moyen Secteur,Indice d'éloignement
0670004R,"CLG ",COLLEGE ALICE DAUL,COLLEGE ALICE DAUL BISCHHEIM,COLLEGE LE RIED BISCHHEIM,COLLEGE LE RIED,"COLLEGE ","LE RIED ",Hors EP,,4 rue du Guirbaden,,67800,BISCHHEIM,85.4,1,2nd degré,Public,ce.0670004R@ac-strasbourg.fr,0388334080,ANNE LIVET,SANS INTERNAT AVEC DEMI PENSION,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0670004R,54,666,705,48.61889808,7.763812205,"48,61816177","7,760710749",0.242236208
0670314C,"E.M.PU ",ECOLE MATERNELLE CANAL,ECOLE MATERNELLE CANAL BISCHHEIM,ECOLE MATERNELLE PUBLIQUE CANAL BISCHHEIM,COLLEGE LE RIED,"ECOLE MATERNELLE PUBLIQUE ","CANAL ",Hors EP,,6 rue des Sapins,,67800,BISCHHEIM,0,0,1er degré,Public,ce.0670314C@ac-strasbourg.fr,0388331164,,,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0670004R,,90,84,48.61848445,7.757890737,"48,61816177","7,760710749",0.210375378
0671993C,"E.M.PU ",ECOLE MATERNELLE CENTRE,ECOLE MATERNELLE CENTRE BISCHHEIM,ECOLE MATERNELLE PUBLIQUE CENTRE BISCHHEIM,COLLEGE LE RIED,"ECOLE MATERNELLE PUBLIQUE ","CENTRE ",Hors EP,,6 rue Nationale,,67800,BISCHHEIM,0,0,1er degré,Public,ce.0671993C@ac-strasbourg.fr,0388333494,,,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0670004R,,101,103,48.61437743,7.754748695,"48,61816177","7,760710749",0.607583526
0672147V,"E.M.PU ",ECOLE MATERNELLE LUCIE AUBRAC,ECOLE MATERNELLE LUCIE AUBRAC BISCHHEIM,ECOLE MATERNELLE PUBLIQUE LUCIE AUBRAC BISCHHEIM,COLLEGE LE RIED,"ECOLE MATERNELLE PUBLIQUE ","LUCIE AUBRAC ",Hors EP,,17 rue du Guirbaden,,67800,BISCHHEIM,0,0,1er degré,Public,ce.0672147V@ac-strasbourg.fr,0388335770,,,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0670004R,,103,107,48.61570809,7.763382974,"48,61816177","7,760710749",0.336194281
0672219Y,"E.M.PU ",ECOLE MATERNELLE CENTRE,ECOLE MATERNELLE CENTRE HOENHEIM,ECOLE MATERNELLE PUBLIQUE CENTRE HOENHEIM,COLLEGE LE RIED,"ECOLE MATERNELLE PUBLIQUE ","CENTRE ",Hors EP,,3 rue de l'Ecole,,67800,HOENHEIM,0,0,1er degré,Public,ce.0672219Y@ac-strasbourg.fr,0388331331,,,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0670004R,,165,151,48.62210013,7.754006094,"48,61816177","7,760710749",0.659285701
0672261U,"E.E.PU ",ECOLE PRIMAIRE CENTRE,ECOLE PRIMAIRE CENTRE HOENHEIM,ECOLE PRIMAIRE PUBLIQUE CENTRE HOENHEIM,COLLEGE LE RIED,"ECOLE PRIMAIRE PUBLIQUE ","CENTRE ",Hors EP,,18 rue des Vosges,,67800,HOENHEIM,0,0,1er degré,Public,ce.0672261U@ac-strasbourg.fr,0388330940,,,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,BISCHHEIM Le Ried,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0670004R,,246,234,48.6225276,7.751855205,"48,61816177","7,760710749",0.812018449
0672391K,"E.E.PU ",ECOLE PRIMAIRE LUCIE AUBRAC,ECOLE PRIMAIRE LUCIE AUBRAC BISCHHEIM,ECOLE PRIMAIRE PUBLIQUE LUCIE AUBRAC BISCHHEIM,COLLEGE LE RIED,"ECOLE PRIMAIRE PUBLIQUE ","LUCIE AUBRAC ",Hors EP,,Rue du Guirbaden,,67800,BISCHHEIM,0,1,1er degré,Public,ce.0672391K@ac-strasbourg.fr,0388334938,,,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,BISCHHEIM Le Ried,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0670004R,,176,141,48.61803704,7.763305631,"48,61816177","7,760710749",0.191248566
0672455E,"E.E.PU ",ECOLE PRIMAIRE BOUCHESECHE,ECOLE PRIMAIRE BOUCHESECHE HOENHEIM,ECOLE PRIMAIRE PUBLIQUE BOUCHESECHE HOENHEIM,COLLEGE LE RIED,"ECOLE PRIMAIRE PUBLIQUE ","BOUCHESECHE ",Hors EP,,5 rue du Wangenbourg,,67800,HOENHEIM,0,1,1er degré,Public,ce.0672455E@ac-strasbourg.fr,0388332655,,,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,BISCHHEIM Le Ried,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0670004R,,338,339,48.62007662,7.767550007,"48,61816177","7,760710749",0.545961657
0672604S,"LGT ",LYCEE GENERAL ET TECHNOLOGIQUE MARC BLOCH,LYCEE GENERAL ET TECHNOLOGIQUE MARC BLOCH BISCHHEIM,LYCEE GENERAL ET TECHNOLOGIQUE MARC BLOCH BISCHHEIM,,LYCEE GENERAL ET TECHNOLOGIQUE,"MARC BLOCH ",Sans objet,,Allée Blaise Pascal,,67800,BISCHHEIM,102.1,0,2nd degré,Public,ce.0672604S@ac-strasbourg.fr,0390200730,MICHEL WISSENMEYER,AVEC INTERNAT ET DEMI PENSION,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0672806L,,1254,1240,48.61674015,7.766053868,"48,61816177","7,760710749",0.42338514
0672757H,"E.M.PU ",ECOLE MATERNELLE RIED,ECOLE MATERNELLE RIED HOENHEIM,ECOLE MATERNELLE PUBLIQUE RIED HOENHEIM,COLLEGE LE RIED,"ECOLE MATERNELLE PUBLIQUE ","RIED ",Hors EP,,7 rue de Wangenbourg,,67800,HOENHEIM,0,0,1er degré,Public,ce.0672757H@ac-strasbourg.fr,0388832432,,,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0670004R,,191,181,48.61968599,7.767807976,"48,61816177","7,760710749",0.548536152
